======C:1.0E-4	Delta:0.01
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:11	RecBLocks:2	TO:5.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:12	RecBLocks:2	TO:6.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:11	RecBLocks:2	TO:5.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:11	RecBLocks:2	TO:5.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:10	RecBLocks:2	TO:5.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:14	RecBLocks:2	TO:7.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:10	RecBLocks:2	TO:5.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:16	RecBLocks:2	TO:8.0
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:16	RecBLocks:2	TO:8.0
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:11	RecBLocks:2	TO:5.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:9	RecBLocks:2	TO:4.5
TxBlocks:12	RecBLocks:2	TO:6.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:11	RecBLocks:2	TO:5.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:10	RecBLocks:2	TO:5.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:9	RecBLocks:2	TO:4.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:13	RecBLocks:2	TO:6.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:11	RecBLocks:2	TO:5.5
TxBlocks:13	RecBLocks:2	TO:6.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:11	RecBLocks:2	TO:5.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:10	RecBLocks:2	TO:5.0
TxBlocks:11	RecBLocks:2	TO:5.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:11	RecBLocks:2	TO:5.5
TxBlocks:9	RecBLocks:2	TO:4.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:10	RecBLocks:2	TO:5.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:10	RecBLocks:2	TO:5.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:14	RecBLocks:2	TO:7.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:13	RecBLocks:2	TO:6.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:9	RecBLocks:2	TO:4.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:10	RecBLocks:2	TO:5.0
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:9	RecBLocks:2	TO:4.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:9	RecBLocks:2	TO:4.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
======C:0.05	Delta:0.01
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:15	RecBLocks:2	TO:7.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:14	RecBLocks:2	TO:7.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:9	RecBLocks:2	TO:4.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:11	RecBLocks:2	TO:5.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:10	RecBLocks:2	TO:5.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:15	RecBLocks:2	TO:7.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:9	RecBLocks:2	TO:4.5
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:11	RecBLocks:2	TO:5.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:10	RecBLocks:2	TO:5.0
TxBlocks:10	RecBLocks:2	TO:5.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:11	RecBLocks:2	TO:5.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:11	RecBLocks:2	TO:5.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:10	RecBLocks:2	TO:5.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:14	RecBLocks:2	TO:7.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:9	RecBLocks:2	TO:4.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:8	RecBLocks:2	TO:4.0
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:6	RecBLocks:2	TO:3.0
TxBlocks:7	RecBLocks:2	TO:3.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:5	RecBLocks:2	TO:2.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:3	RecBLocks:2	TO:1.5
TxBlocks:4	RecBLocks:2	TO:2.0
