======C:1.0E-4	Delta:0.01
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:34	RecBLocks:4	TO:8.5
TxBlocks:31	RecBLocks:4	TO:7.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:35	RecBLocks:4	TO:8.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:25	RecBLocks:4	TO:6.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:20	RecBLocks:4	TO:5.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:31	RecBLocks:4	TO:7.75
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:26	RecBLocks:4	TO:6.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:20	RecBLocks:4	TO:5.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:45	RecBLocks:4	TO:11.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:36	RecBLocks:4	TO:9.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:15	RecBLocks:4	TO:3.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:31	RecBLocks:4	TO:7.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:21	RecBLocks:4	TO:5.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:26	RecBLocks:4	TO:6.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
======C:0.005	Delta:0.9
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:62	RecBLocks:4	TO:15.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:20	RecBLocks:4	TO:5.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:24	RecBLocks:4	TO:6.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:25	RecBLocks:4	TO:6.25
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:24	RecBLocks:4	TO:6.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:23	RecBLocks:4	TO:5.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:59	RecBLocks:4	TO:14.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:18	RecBLocks:4	TO:4.5
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:34	RecBLocks:4	TO:8.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:46	RecBLocks:4	TO:11.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:20	RecBLocks:4	TO:5.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:25	RecBLocks:4	TO:6.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:20	RecBLocks:4	TO:5.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:31	RecBLocks:4	TO:7.75
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:26	RecBLocks:4	TO:6.5
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:26	RecBLocks:4	TO:6.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:36	RecBLocks:4	TO:9.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:26	RecBLocks:4	TO:6.5
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:14	RecBLocks:4	TO:3.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:22	RecBLocks:4	TO:5.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:8	RecBLocks:4	TO:2.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:18	RecBLocks:4	TO:4.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:30	RecBLocks:4	TO:7.5
TxBlocks:11	RecBLocks:4	TO:2.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:18	RecBLocks:4	TO:4.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:10	RecBLocks:4	TO:2.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:46	RecBLocks:4	TO:11.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:15	RecBLocks:4	TO:3.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:9	RecBLocks:4	TO:2.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:5	RecBLocks:4	TO:1.25
TxBlocks:13	RecBLocks:4	TO:3.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:12	RecBLocks:4	TO:3.0
TxBlocks:16	RecBLocks:4	TO:4.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:27	RecBLocks:4	TO:6.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:19	RecBLocks:4	TO:4.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:7	RecBLocks:4	TO:1.75
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:17	RecBLocks:4	TO:4.25
TxBlocks:4	RecBLocks:4	TO:1.0
TxBlocks:6	RecBLocks:4	TO:1.5
TxBlocks:26	RecBLocks:4	TO:6.5
